City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,ha tinh,18.3333,105.9,26.55,87,97,2.06,VN,1681349281
298,mpongwe,-13.5091,28.155,17.41,93,100,1.91,ZM,1681349515
299,chongoyape,-6.6406,-79.3892,25.59,84,100,0.85,PE,1681349515
300,juneau,58.3019,-134.4197,4.56,94,100,8.75,US,1681349144
301,mineral wells,32.8085,-98.1128,21.11,40,0,3.6,US,1681349516
302,sitka,57.0531,-135.33,4.94,75,100,6.17,US,1681349387
303,san cristobal,7.7669,-72.225,24.1,94,100,1.27,VE,1681349380
304,alofi,-19.0595,-169.9187,28.94,65,75,6.69,NU,1681349379
305,puerto varas,-41.3195,-72.9854,9.12,100,100,1.03,CL,1681349517
306,komsomolskiy,40.4272,71.7189,11.4,82,80,4.12,UZ,1681349384
307,nagato,34.3833,131.2,17.8,38,0,0.36,JP,1681349517
308,azanja,44.4339,20.8759,4.82,80,96,2.21,RS,1681349517
309,vawkavysk,53.1561,24.4513,8.25,95,100,3.36,BY,1681349518
310,buala,-8.145,159.5921,26.79,81,95,1.53,SB,1681349518
311,bahile,9.9995,118.7878,29.93,64,99,2.41,PH,1681349518
312,riyadh,24.6877,46.7219,20.08,65,100,4.86,SA,1681349518
313,monrovia,6.3005,-10.7969,26.99,85,19,2.92,LR,1681349518
314,nishihara,26.1842,127.7558,24.6,71,75,8.23,JP,1681349349
315,cabo san lucas,22.8909,-109.9124,26.61,60,40,6.17,MX,1681349275
316,paithan,19.4833,75.3833,30.56,28,66,2.54,IN,1681349519
317,saint-paul,-21.0096,55.2707,25.06,92,3,0.89,RE,1681349519
318,lunenburg,44.3835,-64.3155,9.16,63,100,6.17,CA,1681349420
319,navolato,24.7672,-107.6944,27.1,53,58,2.36,MX,1681349520
320,dikson,73.5069,80.5464,-21.77,92,24,8.28,RU,1681349302
321,zhangye,38.9342,100.4517,10.07,45,100,0.73,CN,1681349520
322,namatanai,-3.6667,152.4333,27.41,79,100,5.92,PG,1681349461
323,vanimo,-2.6741,141.3028,29.15,68,78,2.04,PG,1681349520
324,tabou,4.423,-7.3528,26.45,86,6,2.84,CI,1681349521
325,bethanien,-26.502,17.1583,15.22,24,6,1.95,NA,1681349521
326,panalingaan,8.7842,117.4231,29.11,71,59,2.29,PH,1681349521
327,san jose,37.3394,-121.895,15.67,49,20,7.6,US,1681349305
328,paamiut,61.994,-49.6678,0.22,71,87,2.16,GL,1681349521
329,pitea,65.3172,21.4794,-0.95,95,100,4.44,SE,1681349521
330,tsurugi,36.45,136.6333,19.06,29,1,2.84,JP,1681349522
331,sokol,59.4617,40.1206,0.38,81,100,5.03,RU,1681349522
332,santarem,-2.4431,-54.7083,24.07,94,0,1.03,BR,1681349522
333,wiwili,13.6268,-85.8254,23.91,47,36,1.86,NI,1681349523
334,bjornevatn,69.6672,29.9847,-2.21,73,9,5.66,NO,1681349523
335,yerbogachen,61.2767,108.0108,-7.36,86,100,3.65,RU,1681349523
336,salalah,17.0151,54.0924,27.05,78,40,1.54,OM,1681349325
337,hargeysa,9.56,44.065,20.81,71,90,4.16,SO,1681349524
338,arman,59.7,150.1667,-1.1,67,2,0.51,RU,1681349524
339,madison,34.7334,-86.5667,18.39,52,0,0.0,US,1681349524
340,inhambane,-23.865,35.3833,21.15,72,0,1.99,MZ,1681349524
341,victoria,22.2855,114.1577,24.98,84,100,1.34,HK,1681349356
342,malartic,48.1335,-78.1328,9.06,95,100,2.6,CA,1681349305
343,ribeira grande,38.5167,-28.7,16.54,94,92,3.58,PT,1681349310
344,filadelfia,39.9523,-75.1638,25.14,40,0,4.12,US,1681349267
345,bandarbeyla,9.4942,50.8122,27.1,78,49,2.28,SO,1681349460
346,waipawa,-41.4122,175.5153,15.34,76,46,3.62,NZ,1681349525
347,copperas cove,31.1241,-97.9031,20.6,51,0,4.12,US,1681349526
348,saint-philippe,-21.3585,55.7679,24.77,83,34,0.44,RE,1681349344
349,havelock,34.8791,-76.9013,17.75,61,0,4.12,US,1681349317
350,port hedland,-20.3167,118.5667,26.03,100,75,3.6,AU,1681349331
351,nantucket,41.2835,-70.0995,13.41,62,77,1.45,US,1681349526
352,enumclaw,47.2043,-121.9915,11.3,52,34,1.1,US,1681349515
353,yanam,16.7333,82.2167,29.64,54,0,1.62,IN,1681349527
354,asyut,27.181,31.1837,14.1,34,0,2.23,EG,1681349527
355,coquimbo,-29.9533,-71.3436,14.85,94,20,1.03,CL,1681349291
356,dekar,-21.5333,21.9333,18.92,42,0,3.86,BW,1681349527
357,williams lake,52.1415,-122.1445,4.76,75,75,2.57,CA,1681349528
358,salta,-24.7859,-65.4117,20.88,85,75,3.09,AR,1681349343
359,praia da vitoria,38.7333,-27.0667,16.14,88,20,3.3,PT,1681349528
360,bilma,18.6853,12.9164,21.26,12,0,3.85,NE,1681349528
361,amapa,1.0,-52.0,22.59,98,89,1.05,BR,1681349528
362,iqaluit,63.7506,-68.5145,-9.15,73,75,0.0,CA,1681349055
363,sisimiut,66.9395,-53.6735,-5.76,90,97,2.76,GL,1681349366
